stateId,singleUrban,singleRural,coupleUrban,coupleRural,coupleKidsUrban,coupleKidsRural
WKL,2700,,4500,,6500,
WPT,2700,,4500,,6500,
SBH,2406,2317,4009,3861,5791,5577
WLB,2406,2317,4009,3861,5791,5577
SLG,2317,1974,3861,3289,5577,4751
PNG,2276,2029,3794,3381,5480,4884
SRK,2262,2105,3769,3508,5445,5067
JHR,2132,1844,3554,3074,5133,4440
MLK,2105,1865,3508,3109,5067,4490
PHG,2071,1872,3451,3120,4985,4506
NSB,2022,1974,3370,3289,4868,4751
TRG,2009,1891,3349,3152,4837,4553
PRK,1982,1802,3303,2982,4771,4307
KDH,1982,1789,3303,3004,4771,4339
PRL,1899,1783,3165,2971,4572,4292
KLN,1838,1618,3063,2696,4424,3895
